customer_id,name,age,status,date_of_death
67,Customer_67,,Deceased,2022-05-29
68,Customer_68,44.0,Active,
69,Customer_69,52.0,Active,
70,Customer_70,71.0,Active,
71,Customer_71,84.0,Active,
72,Customer_72,31.0,Active,
73,Customer_73,68.0,Active,
74,Customer_74,32.0,Active,
75,Customer_75,71.0,Active,
76,Customer_76,59.0,Active,
77,Customer_77,38.0,Active,
78,Customer_78,41.0,Deceased,2021-04-04
79,Customer_79,60.0,Active,
80,Customer_80,74.0,Active,
81,Customer_81,64.0,Deceased,2023-06-19
82,Customer_82,28.0,Deceased,
83,Customer_83,26.0,Active,
84,Customer_84,30.0,Deceased,2024-06-01
85,Customer_85,78.0,Active,
86,Customer_86,66.0,Active,
87,Customer_87,28.0,Active,
88,Customer_88,78.0,Active,
89,Customer_89,53.0,Deceased,2023-09-12
90,Customer_90,42.0,Active,
91,Customer_91,50.0,Deceased,2022-12-06
92,Customer_92,68.0,Deceased,
93,Customer_93,58.0,Deceased,
94,Customer_94,34.0,Active,
95,Customer_95,60.0,Active,
96,Customer_96,38.0,Active,
97,Customer_97,,Active,
98,Customer_98,72.0,Deceased,2023-09-08
99,Customer_99,39.0,Deceased,
100,Customer_100,32.0,Active,
101,Customer_101,38.0,Active,
102,Customer_102,47.0,Active,
103,Customer_103,84.0,Active,
104,Customer_104,81.0,Deceased,
105,Customer_105,64.0,Active,
106,Customer_106,45.0,Active,
107,Customer_107,40.0,Active,
108,Customer_108,69.0,Active,
109,Customer_109,42.0,Active,
110,Customer_110,71.0,Active,
111,Customer_111,77.0,Active,
112,Customer_112,48.0,Active,
113,Customer_113,50.0,Active,
114,Customer_114,49.0,Active,
115,Customer_115,84.0,Active,
116,Customer_116,84.0,Active,
117,Customer_117,84.0,Active,
118,Customer_118,69.0,Deceased,2023-05-11
119,Customer_119,65.0,Active,
120,Customer_120,53.0,Deceased,2024-03-10
121,Customer_121,39.0,Active,
122,Customer_122,69.0,Active,
123,Customer_123,25.0,Active,
124,Customer_124,49.0,Active,
125,Customer_125,31.0,Deceased,2024-02-23
126,Customer_126,33.0,Active,
127,Customer_127,48.0,Active,
128,Customer_128,25.0,Active,
129,Customer_129,68.0,Active,
130,Customer_130,32.0,Active,
131,Customer_131,48.0,Deceased,
132,Customer_132,35.0,Active,
133,Customer_133,75.0,Active,
134,Customer_134,41.0,Deceased,2023-08-14
135,Customer_135,32.0,Active,
136,Customer_136,59.0,Deceased,2021-04-18
137,Customer_137,59.0,Active,
138,Customer_138,57.0,Active,
139,Customer_139,83.0,Active,
140,Customer_140,,Deceased,2024-08-22
141,Customer_141,66.0,Active,
142,Customer_142,63.0,Active,
143,Customer_143,82.0,Active,
144,Customer_144,65.0,Active,
145,Customer_145,52.0,Active,
146,Customer_146,31.0,Active,
147,Customer_147,33.0,Active,
148,Customer_148,32.0,Active,
149,Customer_149,36.0,Deceased,2021-10-04
150,Customer_150,,Active,
151,Customer_151,57.0,Active,
152,Customer_152,72.0,Active,
153,Customer_153,79.0,Active,
154,Customer_154,47.0,Active,
155,Customer_155,,Active,
156,Customer_156,61.0,Active,
157,Customer_157,59.0,Active,
158,Customer_158,68.0,Active,
159,Customer_159,64.0,Active,
160,Customer_160,46.0,Active,
161,Customer_161,51.0,Active,
162,Customer_162,59.0,Active,
163,Customer_163,25.0,Active,
164,Customer_164,59.0,Active,
165,Customer_165,61.0,Active,
166,Customer_166,71.0,Active,
167,Customer_167,38.0,Active,
168,Customer_168,27.0,Active,
169,Customer_169,25.0,Active,
170,Customer_170,29.0,Active,
171,Customer_171,50.0,Active,
172,Customer_172,79.0,Deceased,2026-02-12
173,Customer_173,38.0,Active,
174,Customer_174,63.0,Active,
175,Customer_175,51.0,Active,
176,Customer_176,33.0,Active,
177,Customer_177,39.0,Active,
178,Customer_178,39.0,Active,
179,Customer_179,50.0,Deceased,
180,Customer_180,66.0,Active,
181,Customer_181,84.0,Deceased,2026-01-25
182,Customer_182,37.0,Active,
183,Customer_183,75.0,Active,
184,Customer_184,56.0,Active,
185,Customer_185,63.0,Active,
186,Customer_186,,Active,
187,Customer_187,76.0,Active,
188,Customer_188,56.0,Active,
189,Customer_189,28.0,Deceased,2021-12-07
190,Customer_190,54.0,Active,
191,Customer_191,61.0,Active,
192,Customer_192,47.0,Active,
193,Customer_193,63.0,Active,
194,Customer_194,69.0,Active,
195,Customer_195,39.0,Active,
196,Customer_196,67.0,Active,
197,Customer_197,53.0,Deceased,2023-03-10
198,Customer_198,60.0,Active,
199,Customer_199,37.0,Active,
200,Customer_200,,Active,
